Title,Artist,ReleaseDate,Info,MetaScore,UserScore,Cover
The  Blackest Beautiful,Letlive,"July 9, 2013",The third full-length release for the Los Angeles-based post-hardcore quartet was self-produced by the band with Kit Walters.,86,8.6,https://static.metacritic.com/images/products/music/8/ee4c89d5edb1819923ce315a5bfab87f-98.jpg
Book Burner,Pig Destroyer,"October 22, 2012","The fifth full-length release for the Virginia grindcore/death metal band is its first with new drummer, Adam Jarvis.",86,7.8,https://static.metacritic.com/images/products/music/7/00f09ee2a0de2cd2f7555bfb0d7ffc1a-98.jpg
"Dead Cities, Red Seas & Lost Ghosts",M83,"July 27, 2004","The second release from French electronica duo M83 takes shoegaze classics such as 'Loveless' as an inspiration, with synths taking the place of guitars.",86,8.6,https://static.metacritic.com/images/products/music/5/92c304f1b7a7832463f4da065ad66714-98.jpg
Fixed::Context [EP],Labradford,"February 20, 2001",,86,8.3,https://static.metacritic.com/images/products/music/7/2ec73ea584f32be365ef31dfd656b447-98.jpg
Shade,Grouper,"October 22, 2021","The 12th full-length studio release for Liz Harris features songs recorded in the past 16 years in Mount Tamalpais, Portland, and Astoria.",86,8.4,https://static.metacritic.com/images/products/music/3/703f6a4a80c5468e3c6c505a3ba1d584-98.jpg
Hercules And Love Affair,Hercules & Love Affair,"June 24, 2008",The debut album for the electronic group from New York.,86,7.1,https://static.metacritic.com/images/products/music/3/78ec422fa833b5034b4f23b95c2e162d-98.jpg
Minute by Minute,The James Hunter Six,"February 26, 2013",The first release in five years for the British soul singer was produced by Gabriel Roth.,86,6.9,https://static.metacritic.com/images/products/music/7/525e12b2149b6b3c7bb0fabf299afb1b-98.jpg
Syro,Aphex Twin,"September 23, 2014",This is the first full-length studio release from Richard D. James as Aphex Twin in over 13 years.,86,8.1,https://static.metacritic.com/images/products/music/0/5ddf2f0dd6dca264298c9133176a3169-98.jpg
Tracyanne & Danny,Tracyanne & Danny,"May 25, 2018",The debut full-length release for the collaboration between Camera Obscura's Tracyanne Campbell and Crybaby's Danny Coughlan was produced by Edwyn Collins.,86,7.3,https://static.metacritic.com/images/products/music/9/557a9e1cb3495d9ceb6847d25ed97162-98.jpg
blackSUMMERS'night (2016),Maxwell,"July 1, 2016",The fifth full-length release for the R&B singer is his first in seven years and was co-produced with Hod David.,86,8.3,https://static.metacritic.com/images/products/music/8/1e5902aa0a32bd76965e013b728dd4a5-98.jpg
Jericho Sirens,Hot Snakes,"March 16, 2018",The first new release for the San Diego post-hardcore band in 14 years was self-recorded and produced. ,86,7.9,https://static.metacritic.com/images/products/music/8/d36b7c50d1b23e13d83125cec033fffe-98.jpg
Young Man In America,Anaïs Mitchell,"February 28, 2012",The singer-songwriter scales back from her 20-track 2010 album Hadestown with 11 folk tunes on her fifth album.,86,8.0,https://static.metacritic.com/images/products/music/4/94775fd44246cca76ee4f8d2687a7293-98.jpg
Centres,Ian William Craig,"July 8, 2016","The ninth full-length release for the Canadian artist who uses cassette players, reel-to-reel machines and synthesizers to create his sound was recorded in a variety of places in Vancouver.",86,7.5,https://static.metacritic.com/images/products/music/2/d79d8bb29bb0075d8eaa3c4e2c3163fe-98.jpg
Life Is People,Bill Fay,"August 20, 2012","The first new studio release from the British singer-songwriter in over 40 years was produced by Joshua Henry and features guest appearances by Wilco's Jeff Tweedy, Matt Armstrong, Matt Deighton, Mike Rowe, Ray Russell and Alan Rushton.",86,8.1,https://static.metacritic.com/images/products/music/8/39f64b79e66c8af8a1424a4b8d7f49e5-98.jpg
Teens of Denial,Car Seat Headrest,"May 20, 2016",The second full-length release (and the first recorded with a full band and studio production) for the indie rock band led by Will Toledo was produced by Steve Fisk.,86,8.4,https://static.metacritic.com/images/products/music/6/63b72de4a602a29b04499f749eb6ec82-98.jpg
Without a Net,Wayne Shorter,"February 5, 2013",The third live release from the Wayne Shorter Quartet was recorded during the group's 2011 tour.,86,5.6,https://static.metacritic.com/images/products/music/4/3b804ccb680e6f80acc40a63febce17b-98.jpg
Midsommar [Original Motion Picture Soundtrack],Bobby Krlic,"July 5, 2019",The first solo film score for The Haxan Cloak's Bobby Krlic is for Ari Aster's 2019 horror film and features a 16-piece orchestra.,86,8.4,https://static.metacritic.com/images/products/music/7/a0a06dc082f010c6185ddd524e8df3e0-98.jpg
Narkopop,Gas,"April 21, 2017",This is the first full-length studio release in 17 years for Wolfgang Voigt's ambient techno project.,86,7.7,https://static.metacritic.com/images/products/music/1/30992b023a4ad118d9daf0ab0c73141f-98.jpg
Estudando o Pagode,Tom Zé,"April 11, 2006","Experimental Brazilian artist Tom Ze, now nearing 70 years old, continues to challenge with this concept album about the struggles of women in a male-dominated world.",86,8.7,https://static.metacritic.com/images/products/music/0/c59879d882a26804b4c70e472af841f9-98.jpg
King's Disease II,Nas,"August 6, 2021","The sequel to the rappers 2020 King's Disease album features guest appearances from A Boogie Wit da Hoodie, Blxst, Eminem, EPMD, Lauryn Hill, Hit-Boy, Charlie Wilson, and YG.",86,8.7,https://static.metacritic.com/images/products/music/5/df5d12a30bcdadedcd87a00419f9e702-98.jpg
Robyn,Robyn,"April 29, 2008",The fourth album for the Swedish singer was released in 2005 in her native Sweden.,86,8.2,https://static.metacritic.com/images/products/music/2/253879b0e45c1b96991bc687706abace-98.jpg
Process,Sampha,"February 3, 2017",The debut full-length release for the British R&B singer/producer was produced with Rodaidh McDonald.,86,8.1,https://static.metacritic.com/images/products/music/1/389b5edb7563a2e0ffec97b4080781e5-98.jpg
Separation Sunday,The Hold Steady,"May 3, 2005",This is the second album from the New York City band led by Craig Finn.,86,8.7,https://static.metacritic.com/images/products/music/5/9d1bb435058bf4e4b1c90859be740098-98.jpg
The Decline Of British Sea Power,British Sea Power,"September 9, 2003","Oft-compared to Joy Division, this unique British four-piece sports single-word names (Hamilton, Noble, Yan, and Wood), dons military apparel for their live shows, and tackles dark, weighty themes in their lyrics (Czech history, anyone)? 'The Decline' marks their full-length debut, drawing critical praise on both sides of the Atlantic.",86,8.6,https://static.metacritic.com/images/products/music/7/7300db231915f5096ca771d2b21e8c8e-98.jpg
You Forgot It In People,Broken Social Scene,"June 3, 2003","The Toronto, Canada indie-rock collective generated a great deal of praise for this 2002 sophomore effort, which was released in the U.S. in June, 2003 for the first time.",86,8.9,https://static.metacritic.com/images/products/music/9/a7c8e512085c9e146ac5a5b6936a4885-98.jpg
Quicksand / Cradlesnakes,Califone,"March 18, 2003","Featuring basically the same lineup as the defunct Chicago band Red Red Meat, Califone makes their Thrill Jockey debut with this mix of country, blues, folk, and electronic elements.",86,8.2,https://static.metacritic.com/images/products/music/4/143e71b6f51b83258f69007d92024211-98.jpg
Rings Around The World,Super Furry Animals,"March 19, 2002","This is the fifth album (and a return to English-lanugage songs) for the well-regarded Welsh indie band, now signed to a major label (Epic). It is the first album ever to be released simultaneously on DVD and CD (with the DVD containing a movie and a remix for each track on the album). Paul McCartney and John Cale have cameo appearances on the album.",86,8.7,https://static.metacritic.com/images/products/music/3/c5caeea5b7209de9e4182a7b65c02d8e-98.jpg
Blues Dream,Bill Frisell,"January 30, 2001",,86,8.3,https://static.metacritic.com/images/products/music/0/b649ed610a83220a9232a471de9c4dc5-98.jpg
The Night Chancers,Baxter Dury,"March 20, 2020",The sixth full-length solo release for the British indie artist was co-produced with Craig Silvey.,86,8.5,https://static.metacritic.com/images/products/music/3/c4a78330ca8fe714a1172cac6d5fb9d4-98.jpg
Deacon,serpentwithfeet,"March 26, 2021",The second full-length release for the New York experimental R&B artist features a guest appearance from NAO.,86,7.5,https://static.metacritic.com/images/products/music/6/16b28053a170b7d25acd01d63093e643-98.jpg
Big Conspiracy,J Hus,"January 24, 2020","The second full-length studio release for the British rapper features guest appearances form Burna Boy, iceè tgm, and Koffee.",86,7.7,https://static.metacritic.com/images/products/music/0/87aa4d9fe11778d46bae8676b3670ed4-98.jpg
Run the Jewels,Killer Mike,"June 26, 2013","El-P and Killer Mike's latest collaboration was released as a free download features guest appearances from Big Boi, Prince Paul, and Until The Ribbon Breaks.",86,8.6,https://static.metacritic.com/images/products/music/9/bbc7eb93667797547b530b25b1e360f5-98.jpg
"Praise a Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds)",Yves Tumor,"March 17, 2023",The fifth full-length release from experimental artist Yves Tumor was produced by Noah Goldstein.,86,8.4,https://static.metacritic.com/images/products/music/1/24a77ca72722de91e3a3f18906f71e77-98.jpg
Minimum-Maximum [Live],Kraftwerk,"June 7, 2005",This 2-disc set was recorded during the band's 2004 world tour.,86,8.6,https://static.metacritic.com/images/products/music/0/b5079a21a6d45b9be00f923fc15b9b04-98.jpg
Once I Was an Eagle,Laura Marling,"May 28, 2013",The fourth full-length studio release for the British singer-songwriter was produced by Ethan Johns.,86,8.6,https://static.metacritic.com/images/products/music/0/7ca67099f52334c2a888dc074ccf23da-98.jpg
Kaleidoscope Dream,Miguel,"October 2, 2012",The second full-length release for the R&B singer includes six songs from two EPs released earlier in the year and features guest appearances from Alicia Keys and Wiz Khalifa.,86,8.7,https://static.metacritic.com/images/products/music/5/0b74a24168b28891a94b33cee3cf6160-98.jpg
"Thunder, Lightning, Strike",The Go! Team,"October 4, 2005","The fun, energetic collage of danceable, mainly instrumental music (genre names don't really apply here) on this debut disc from England's The Go! Team recalls, if only somewhat, the debut from The Avalanches.",86,8.7,https://static.metacritic.com/images/products/music/9/00df00a516d19e17c24a54cc27a3a17e-98.jpg
Heart's Ease,Shirley Collins,"July 24, 2020",The latest full-length release for the British singer-songwriter features four non-traditional songs.,86,8.2,https://static.metacritic.com/images/products/music/7/fa1d0404a22ee70e1181debb7f20506b-98.jpg
Remain In Light,Angélique Kidjo,"June 8, 2018",The Beninese singer-songwriter covers the entire Talking Heads' 1980 album Remain In Light. ,86,8.7,https://static.metacritic.com/images/products/music/9/33fa4772b5035dddc68999943f8e6853-98.jpg
House of Sugar,(Sandy) Alex G,"September 13, 2019","The latest full-length release for the Philadelphia artist features contributions from Samuel Acchione, Molly Germer, John Heywood, Tom Kelly, Jacob Portrait, and Emily Yacina.",86,8.5,https://static.metacritic.com/images/products/music/1/b50023a871a8c28e55a17b3e5e578706-98.jpg
